wavenum,ideo5,edits_clean_text,qpos,trump_stance_auto,lexicoder_sentiment,fold,vader_sentiment,SVM_sentiment,BERT_sentiment,SVM_stance,BERT_stance,vader_scores
4,Moderate,we have a president that is doing things,1,1,,5,,1,1,1,1,0
4,Conservative,we have someone calling out the truth on media left wing and whos pro u s a and whos anti u s a other words none thanks god we have a president not afraid of press,1,1,1,2,0,1,1,1,1,-0.4973
4,Liberal,state and local level actions taken to counter the ethnocentric rhetoric of the white house,1,0,,2,,0,1,0,0,0
4,Conservative,new president new approach,1,1,,4,,1,1,0,0,0
6,Moderate,the trial for the people on donald trump campaign,1,0,,3,,1,1,1,1,0
6,Very conservative,president donald trump nothing else,1,1,,3,,1,1,0,1,0
6,Conservative,that we have a great president,1,1,1,2,1,1,1,1,1,0.6249
6,Conservative,the fact that president donald trump is trying desperately to make america great again ! !,1,1,,5,1,1,1,1,1,0.4738
6,Conservative,donald trump,1,1,,2,,0,0,0,0,0
6,Conservative,our patriotic president,1,1,1,4,,1,1,1,1,0
6,Very liberal,that many americans are getting involved and standing up to donald trump,1,0,,5,,1,1,0,0,0
6,Conservative,proud ? heck no our politicians today are all nuts crooked as can be going through our tax money like its their own personal piggy bank getting up to mischief constantly its a disgrace the one bright cloud is that our new president contrary to what you might believe seems to have americas best interests at heart the rest of congress doesnt like him because he wants to stop the thievery and crooked politics president donald trump makes me proud he was elected even though he has a steep hill to climb,1,1,0,3,1,1,0,1,1,0.7572
6,Moderate,that there are some decent politicians willing to stand up and say enough with the lying to donald trump,1,0,,1,0,0,1,0,0,-0.5267
6,Conservative,our president,1,1,,2,,1,0,1,0,0
6,Very conservative,lol not much but donald trump is trying !,1,1,,1,1,0,1,1,1,0.2942
6,Very liberal,the resistance against the donald trump regime and the gop,1,0,0,1,,0,1,0,0,0
6,Conservative,donald trump !,1,1,,1,,0,0,0,0,0
6,Very conservative,president donald trump,1,1,,2,,1,1,1,1,0
6,Conservative,that we have a president that wants to get things done,1,1,,2,,1,1,1,1,0
6,Conservative,he excitement of a president that doesnt like unfair trade agreements,1,1,1,3,1,0,0,0,0,0.695
6,Moderate,the resistance to donald trump,1,0,,4,,1,1,0,0,0
6,Conservative,we have a president who is showing strength and not pandering to foreign leaders,1,1,1,4,1,0,1,0,1,0.4939
6,Conservative,that we have a president that wants to make america great again ! he cares about the american people and doesnt try to put different groups against each other,1,1,1,4,1,1,1,0,1,0.8122
6,Moderate,the president is trying to make us safe,1,1,1,2,1,1,1,1,1,0.4404
6,Not sure,that donald trump got into politics and that he promised to drain the swamp ! ! !,1,1,,4,1,1,1,1,1,0.5229
6,Moderate,a president who stands rather than crawls,1,1,0,3,,0,1,1,1,0
6,Conservative,we have a president that is a true leader of american traditional values he has a visions for american greatness,1,1,1,1,1,1,1,1,1,0.7506
6,Very conservative,president donald trump,1,1,,3,,1,1,1,1,0
6,Conservative,donald trump,1,1,,2,,0,0,0,0,0
6,Conservative,donald trump,1,1,,4,,0,0,0,0,0
6,Not sure,that donald trump is our president not hillary clinton,1,1,,4,,0,1,1,1,0
6,Conservative,we have a conservative president,1,1,,2,,1,0,1,1,0
6,Very liberal,im proud that they can keep our crazy president in check as much as they can i worry he is poisoning the minds of the people,1,0,0,3,0,1,1,1,0,-0.7184
6,Very conservative,not a whole lot but i feel proud about the way president donald trump is trying to get our country back the way it is suppose to be i know he isnt perfect but he is trying that is if people would just leave him alone and let him do his job he is our president,1,1,1,3,0,1,1,1,1,-0.3913
6,Moderate,that politicians today are having a core meltdown over the president,1,1,,2,,0,0,0,1,0
6,Moderate,donald trump,1,1,,1,,0,0,0,0,0
6,Moderate,nothing donald trump and his team are a joke,1,0,1,1,1,0,0,0,0,0.296
6,Very conservative,donald trump,1,1,,5,,0,0,0,0,0
6,Very conservative,not much i do like donald trump though how he fights against the establishment,1,1,0,4,0,0,1,0,0,-0.0516
6,Very conservative,donald trump is in power,1,1,,3,,0,1,0,1,0
6,Conservative,donald trump,1,1,,4,,0,0,0,0,0
6,Conservative,our flag is still flying high and president donald trump is doing a great job,1,1,1,2,1,1,1,1,1,0.6249
6,Conservative,there are still some who want america to succeed i count our president among those,1,1,1,4,1,0,0,1,1,0.5423
6,Conservative,donald trump,1,1,,5,,0,0,0,0,0
6,Conservative,the only thing that makes me feel proud is that we now have a president who cares about america and its people ! make america great ! ! !,1,1,1,4,1,1,1,1,1,0.9075
6,Moderate,the president who seems to put america first instead of himself,1,1,,3,,0,1,1,1,0
6,Very liberal,resistance to donald trump and republican agenda,1,0,,5,,1,1,0,0,0
6,Conservative,president donald trump is leading the country in a positive way very proud of him,1,1,1,5,1,1,1,1,1,0.7902
6,Conservative,that donald trump was able to win in spite of the entrenched washington swamp occupied by both parties,1,1,,1,1,1,1,1,1,0.4767
6,Conservative,our president is doing what he said he was going to do,1,1,,3,,1,1,1,1,0
6,Very conservative,even a businessman can become president,1,1,,3,,1,1,0,0,0
6,Very conservative,that we finally have a president that cares about our country,1,1,1,2,1,1,1,1,1,0.4588
6,Liberal,none of these things make me proud but robert mueller mueller investigation into russian ties to the donald trump administration,1,0,1,4,1,1,1,0,0,0.2617
6,Moderate,dissent and protests by citizens against the racist sexist and homophobic posturing of the president and his allies makes me proud,1,0,0,1,0,1,1,0,0,-0.4215
6,Very conservative,that the bad ones are finally being exposed donald trump is the voice of the people and not a lying politician,1,1,0,4,0,1,1,1,1,-0.2556
6,Very conservative,my amazing president,1,1,1,5,1,1,1,1,1,0.5859
6,Liberal,not very much with white house occupant aka fake 45 i can cite democrats congress senate and citizens continuing resistance to the unconscionable actions of the serial sexual predator pathological liar racist misogynist xenophobe malignant narcissist and all around vile being yes i deliberately omitted human,1,0,0,1,0,0,1,0,0,-0.9153
6,Moderate,the only good thing according to my opinion that president donald trump has said is to ask for the death penalty for the cause of the killing of cyclists,1,0,0,4,0,1,1,1,0,-0.8555
6,Very conservative,donald trump whether you like him or not is keeping his promises also ted cruz is consistently working to get lower taxes less government intrusion in our lives and the senate correctly voted in whats her name as a federal court judge and in this country voting is still the power of the people we really can and do vote the incumbents out !,1,1,1,2,1,1,1,1,1,0.4926
6,Conservative,donald trump,1,1,,4,,0,0,0,0,0
6,Liberal,im proud that in some limited corners of our government there seems to be increasing acceptance of the diversity of americans im proud that some politicians although far too few are willing to stand up to donald trump policies and methods most of the pride i have left is found at the local level,1,0,1,4,1,1,1,0,0,0.8739
6,Moderate,we finally have a president that will stand up to the crooks in congress,1,1,0,5,,1,1,1,1,0
6,Conservative,the president donald trump gives all the career politicians a good tongue lashing he isnt a politician he is a good businessman,1,1,1,4,1,1,0,1,1,0.7003
6,Conservative,a president who does what he says hes going to do,1,1,,2,,1,1,1,1,0
6,Very conservative,the president and his patriotism,1,1,1,4,,1,1,1,1,0
6,Conservative,donald trump attempt to clear the swamp,1,1,,1,1,0,1,1,1,0.3818
6,Moderate,our president and the role our country plays in the world,1,1,,4,1,0,1,0,1,0.25
6,Very conservative,donald trump being the president of the united states of america,1,1,1,3,1,0,0,0,0,0.4215
6,Moderate,well im a proud american mexican and white heritage also served in the navy 4 years 69 73 i do like some of the things mr donald trump is trying to do like building the arm forces but i really wish you would get off twitter and keep to himself some of the things he has in mind after all i learned in the navy he is my president i didnt elect him but he is my president,1,1,1,2,1,1,1,1,1,0.8438
7,Moderate,the president,1,1,,2,,0,0,0,0,0
7,Very conservative,we elected president donald trump we got the best man we could have ever gotten to be president despite all the lies corruption and evil doings of the left we still prevailed and we won now we have the president who is making america truly great again and bringing back law and order now im proud of america again for this reason and because im sure that eventually all americans worth their salt will see the light and see what evil demons the left is and they will leave that nonsense and come to the right ! ! !,1,1,1,2,1,1,1,1,1,0.9137
7,Conservative,we are still a representative democracy and the people still choose their own representatives despite the divisions in the country most lawmakers will come together when the need is great despite his flaws of character and personality president donald trump does have solid ideas about policy and is implementing them he is beginning to learn how to negotiate in the political arena obviously a learning curve for someone coming from the business world,1,1,1,4,1,1,1,0,0,0.6908
7,Conservative,im proud that we have a president that isnt apologetic about america he is putting america and the needs of our citizens first and that makes me proud,1,1,1,1,1,1,1,1,1,0.7351
7,Conservative,not much the only good thing is that we have donald trump in office and may be able to drain the swamp of lying cheating politicians would be nice if hillary clinton went to jail also to prove that if you lie cheat and steal you go to jail and no one is above the law,1,1,0,2,0,1,1,1,1,-0.8658
7,Very conservative,our president and his election,1,1,,1,,0,0,0,1,0
7,Conservative,that donald trump is our president,1,1,,1,,1,1,1,1,0
7,Very conservative,president donald trump ! ! the economy is picking up lowest unemployment in many years tax cuts and did i mention president donald trump ?,1,1,,4,0,1,1,1,1,-0.8065
7,Not sure,new president,1,1,,3,,1,1,0,0,0
7,Very conservative,president donald trump,1,1,,4,,1,1,1,1,0
7,Liberal,im proud about the democrats standing up to donald trump also that they were willing to negotiate over shut down when most of the republicans werent,1,0,1,5,1,1,1,1,1,0.4767
7,Conservative,donald trump he is the voice of the people that has long been ignored,1,1,0,3,0,0,0,0,0,-0.3182
7,Not sure,im proud to be american but im embarrassed by the things that our president does,1,0,,1,0,1,0,0,0,-0.296
7,Very conservative,donald trump cleaning out the swamp and doing what he said he would do lower taxes for all and businesses immigration reform build the wall not aid countries that arent our friends etc etc etc,1,1,1,1,0,1,1,1,1,-0.5795
7,Liberal,mueller investigation on donald trump russia ties,1,0,,3,,1,1,0,0,0
7,Conservative,we have a president that loves this country,1,1,1,4,1,1,1,0,1,0.5719
7,Liberal,resistance to donald trump,1,0,,5,,1,1,0,0,0
7,Very conservative,our president,1,1,,3,,1,0,1,0,0
7,Conservative,our new president,1,1,,2,,1,1,0,0,0
7,Very liberal,the democrats standing up against donald trump,1,0,0,3,,1,1,1,0,0
7,Conservative,donald trump the release of the memo so we can get to the truth of what hillary clinton did to throw the election the fact that the house and senate are finally looking into the corrupt democrats that donald trump told the nfl to stand for the national anthem,1,1,,5,1,1,1,0,0,0.3182
7,Very conservative,no rules no stuffiness in white house everything is turned upside down with a man not afraid to speak his mind,1,1,,2,0,0,0,0,0,-0.0803
7,Liberal,that a majority of americans are against donald trump presidency,1,0,0,5,,1,1,0,0,0
7,Very conservative,that donald trump is our president,1,1,,5,,1,1,1,1,0
7,Very conservative,donald trump,1,1,,3,,0,0,0,0,0
7,Liberal,some standing up to donald trump,1,0,,3,,1,1,0,0,0
7,Moderate,donald trump won even though the democrats played dirty,1,1,,1,1,0,0,1,1,0.4939
7,Very conservative,that we finally have a president that isnt bought and one that doesnt try to divide america and doesnt support our enemies,1,1,0,1,1,1,1,0,1,0.0951
7,Conservative,im proud of president donald trump i believe truly loves america and is making a difference in our economy and taxes ! he has done 81 things since he got in,1,1,1,1,1,1,1,1,1,0.8748
7,Conservative,president donald trump,1,1,,4,,1,1,1,1,0
7,Moderate,donald trump president,1,1,,4,,1,0,1,1,0
7,Moderate,the president,1,1,,5,,0,0,1,0,0
7,Very conservative,how donald trump has emphasized respect for our flag and the national anthem,1,1,1,4,1,0,1,1,1,0.4767
7,Conservative,my president donald trump is all about making america great again america first and americans are dreamers too,1,1,,5,1,1,1,1,1,0.6249
7,Very liberal,im proud of the fact that i can watch the man in the white house make a fool of himself and i can say almost exactly what i think of him please get him out of there soon there are also many things im not proud of right now,1,0,1,3,0,1,1,0,0,-0.0139
7,Conservative,a president who puts america first economy on the upswing 401k accounts thriving unemployment at record lows a president who speaks his mind and openly ridicules political correctness a president who calls bs on the news media,1,1,1,1,0,1,1,1,1,-0.7579
7,Conservative,donald trump cleaning house get rid of the dead weight america first,1,1,,1,0,1,1,1,1,-0.6486
7,Conservative,donald trump,1,1,,2,,0,0,0,0,0
7,Very liberal,the president doing what he said he was going to do,1,1,,3,,1,1,1,1,0
7,Conservative,donald trump,1,1,,5,,0,0,0,0,0
7,Very conservative,donald trump,1,1,,2,,0,0,0,0,0
7,Very conservative,the presidents state of the union speech ! !,1,1,,2,,1,1,1,1,0
7,Very conservative,exposing the liberal media corruption in liberals and the general spanking that donald trump is delivering,1,1,0,4,0,0,1,1,1,-0.2732
7,Very conservative,donald trump is president,1,1,,2,,1,1,1,1,0
7,Very conservative,donald trump,1,1,,3,,0,0,0,0,0
7,Moderate,our president changing things to better the u s a,1,1,1,1,1,1,1,1,1,0.4404
7,Liberal,resistance to the donald trump administration,1,0,,5,,1,1,0,0,0
7,Conservative,we have a president who truly seems to care about our future,1,1,1,5,1,0,1,1,1,0.7269
7,Very conservative,president donald trump is making this country great again if only the liberals would quit undermining him,1,1,,4,1,0,1,1,1,0.3818
7,Very conservative,donald trump,1,1,,5,,0,0,0,0,0
7,Very liberal,only that democratic leaders have the balls to speak out against donald trump and his bigoted and dangerous policies and actions,1,0,0,2,0,1,1,1,0,-0.4767
7,Conservative,donald trump is president and we have a president who genuinely loves the u s instead of instead of hates it like the last one,1,1,1,1,1,0,1,1,1,0.5106
7,Moderate,donald trump,1,1,,2,,0,0,0,0,0
7,Conservative,that donald trump became president and start doing good things for the country very looking forward for his next years,1,1,1,5,1,1,1,1,1,0.4404
7,Very conservative,donald trump is making america great again,1,1,1,3,1,1,1,1,1,0.6249
7,Conservative,the president is a great man,1,1,1,2,1,1,1,1,1,0.6249
7,Very conservative,president donald trump and some of his cabinet are trying to help us out with the new tax reforms and also trying to get more support for our armed forces,1,1,1,1,1,1,1,0,1,0.6901
7,Moderate,that the institutions may stand against donald trump efforts to undermine them,1,0,0,1,0,0,1,0,0,-0.296
7,Conservative,that we have a president that is patriotic and for the people,1,1,1,3,,1,1,1,1,0
7,Conservative,donald trump,1,1,,5,,0,0,0,0,0
7,Moderate,donald trump !,1,1,,5,,0,0,0,0,0
7,Very conservative,im proud of the balls president donald trump has the democrats are an unamerican disgrace and do nothing to make me proud only ashamed,1,1,,4,0,1,1,1,1,-0.0258
7,Moderate,to have a brave president like donald trump that will speak up for the people of america,1,1,1,4,1,1,1,1,1,0.7096
7,Conservative,president donald trump,1,1,,1,,1,1,1,1,0
7,Very conservative,it looks like there is a chance president donald trump will actually be able to drain the swamp it would be the best thing to happen to the country in a long time,1,1,1,4,1,1,1,1,1,0.8271
7,Moderate,how the president is helping immigrant through the dreamers act,1,1,1,2,1,0,1,0,0,0.296
7,Conservative,donald trump,1,1,,3,,0,0,0,0,0
7,Conservative,that some are standing up to respect the president as our current leader even when the going trend is to look only at the bad,1,1,,1,0,0,1,0,1,-0.1027
7,Very conservative,donald trump actions as president our wonderful military the tax cut,1,1,1,5,1,1,1,1,1,0.3818
7,Conservative,president donald trump,1,1,,1,,1,1,1,1,0
7,Very liberal,donald trump making america for the people again,1,1,,3,,1,1,1,1,0
7,Conservative,in short we now have a president who actually cares about the country its real citizens its economic success being respected in the world not afraid to speak his mind in plain english and a president whos proud to be an american,1,1,1,4,1,1,1,1,1,0.9169
7,Conservative,that we have a president trying to make a change,1,1,,4,,1,1,1,1,0
7,Moderate,president following through with what he said he would do,1,1,,4,,1,1,1,1,0
7,Very conservative,donald trump,1,1,,2,,0,0,0,0,0
7,Moderate,that we finally have a president who means what he says hes doings things many others have only promised to do,1,1,,4,1,1,1,1,1,0.3612
7,Moderate,resistance to donald trump administration,1,0,,5,,1,1,0,0,0
7,Moderate,that there are still politicians willing to put whats right for the country and the people ahead of party politics work with their partners across the aisle and not get into bed with the corruption that came with a donald trump presidency,1,0,1,4,1,0,1,0,0,0.4019
7,Moderate,donald trump,1,1,,5,,0,0,0,0,0
7,Very conservative,we have a president that is proud to be an american and shows it when ever he talks to anyone about this great nation,1,1,1,5,1,1,1,1,1,0.8391
7,Moderate,my thoughts of the aftermath of true american heritage money investments strategies after knowing a sense of integrity as a young durane from my mentor president donald trump,1,1,1,1,1,1,1,1,1,0.6597
7,Very conservative,basically everything donald trump has put on the table,1,1,,4,,0,0,0,0,0
7,Conservative,finally having a real president who is trying to keep his promises,1,1,,1,1,1,1,1,1,0.3818
7,Moderate,nothing really but donald trump doing a good job so far,1,1,1,4,1,0,1,0,1,0.5927
7,Very conservative,donald trump is getting most of the things he ran on done,1,1,,2,,1,1,1,1,0
7,Moderate,americans standing up to donald trump agenda,1,0,,5,,1,1,0,1,0
7,Liberal,democrats standing up against a tyrannical donald trump,1,0,0,1,,1,1,1,0,0
8,Very conservative,president donald trump taking on the biased media,1,1,0,5,0,0,1,1,1,-0.2732
8,Very conservative,finally elected a president of the u s that isnt a typical dumb ass politician and is truly doing a fantastic job,1,1,0,1,1,1,1,1,1,0.691
8,Liberal,politicians are speaking out about donald trump,1,0,,1,,1,1,0,1,0
8,Very conservative,having donald trump as our president to make american great again,1,1,1,1,1,1,1,1,1,0.6249
8,Conservative,finally a president with the balls to do what is right,1,1,1,1,,1,1,1,1,0
8,Very conservative,donald trump,1,1,,5,,0,0,0,0,0
8,Very conservative,president donald trump is president for of and by the people,1,1,,5,,1,1,1,1,0
8,Moderate,our president sticking to the constitution,1,1,0,5,,1,1,1,1,0
8,Very conservative,donald trump,1,1,,1,,0,0,0,0,0
8,Moderate,that the silent minority spoke up and elected donald trump and they continue to stand their ground without projecting violence temper tantrums as the far left extremists are doing,1,1,0,4,1,0,1,1,1,0.4812
