text,stance,sentiment,balanced_train,vader_scores
We are the granddaughters of the witches you weren't able to burn. #WomensMarch https://t.co/rBqRXtgzXH,1,0.0,0.0,0.0
RT @jennwadsworth: Updated estimate: just heard from @SanJosePD on scene that San Jose #WomensMarch drew 40k.,1,1.0,0.0,0.0
The rap legend @MeekMill inspiring politics . #MMG https://t.co/bYvLGa28XC,1,1.0,0.0,0.4215
"50,000 strong! #WomensMarch #WomensMarchAustin #TheResistance #FreedomNotFear https://t.co/0npy1V15qK",1,1.0,0.0,0.5562
RT @madyoreilly: St. Louis will not go quietly 👏🏻👏🏽👏🏿#WomensMarch https://t.co/9335efIiKN,1,1.0,0.0,0.0
RT @Emmaville82: @womensmarch I just hope that this isn't a one day wonder. I'm prepared to March for as long as it takes. #staystrong xx,1,1.0,0.0,0.5859
"Nashville, you're amazing. #WomensMarch #PowerTogetherTN https://t.co/LRjf1R7nC2",1,1.0,0.0,0.5859
RT @RageGoldenEagle: #WomensMarch #MillionWomanMarch in a nutshell... https://t.co/4UpNbJ04Nf,1,1.0,0.0,0.0
Of course you do sweetcakes. That's why you're in my mentions first ;) @OneSillyFag @womensmarch @owillis @_abby_c https://t.co/OVoGYLaN95,1,1.0,0.0,0.2263
RT @swansmayor: mutuals who only cared abt #WomensMarch once celebrities got involved https://t.co/HOwoqWGAfL,0,0.0,1.0,0.4215
RT @caitlinthealien: idk asshole i kinda want the right to choose but if someone wants to give me a mani/pedi feel free! it's been years. h…,1,0.0,0.0,0.6752
"Also, where were all of you on Election Day? #WomensMarch",0,0.0,1.0,0.0
What an amazing experience yesterday at the Women's March. So happy and motivated to be a part of this movement #WomensMarch #marchonaustin https://t.co/nAdMp1W8fQ,1,1.0,0.0,0.9154
We need a March like this late October 2018  Can we get a turnover in Congress...checks and balance?? @womensmarch  #WomensMarch,1,1.0,1.0,0.4329
Apparently wealthy #AshleyJudd complains about paying for tampons. Does she realize what women in some countries use? https://t.co/YVGNcf9K7k,0,0.0,1.0,-0.0258
RT @hngandhi: They marched.  Now what? #MarchOnWashington #womensmarch #bbcnews @BBCNewsUS https://t.co/mnPKVS3RwX https://t.co/DfhNVvn1Fi,1,0.0,0.0,0.0
"Just a bunch of libtard states like Idaho, Texas and Georgia. https://t.co/X8QQ06Pdoh",0,0.0,1.0,0.3612
@veroniac talks pussyhats and @DocsIndivisible with @BBCNuala! https://t.co/nUduGgQDQy,1,1.0,1.0,0.0
"RT @charzdesigns: Do these women know this?? She wants to help us, but not her own sisters? They should be frightened of her, not Trump! #W…",0,0.0,1.0,-0.5903
"RT @charzdesigns: Do these women know this?? She wants to help us, but not her own sisters? They should be frightened of her, not Trump! #W…",0,0.0,1.0,-0.5903
"Of course, women have been ignored for centuries (especially in religion). https://t.co/4YllrCIzYO",1,0.0,0.0,-0.3182
RT @ArianatorLovix: Ariana and Nonna at the #WomensMarch in LA today. https://t.co/B4S1gNHjan,1,1.0,0.0,0.0
"RT @TinaDupuy: Trump, you may be able to grab a woman's pussy without consent, but you can't govern without consent. #UnpopularPOTUS #women…",1,0.0,0.0,0.1043
RT @RedHotSquirrel: One Thousand Four Hundred vulnerable girls were sexually abused over 16 years in Rotherham alone. There was NO #WomensM…,1,0.0,1.0,-0.8455
RT @staywithmeSB: MY FAVS BEING AMAZING AS ALWAYS #WomensMarch https://t.co/7QRgKb2kxA,1,0.0,0.0,0.6739
We made history at #womensmarch. Now it’s time to make our voices heard. First up: send a postcard to your Senators https://t.co/qxYA0BgO1G,1,1.0,0.0,0.0
RT @joshsfitz61885: Even my little town can make a lot of noise! #WomensMarch https://t.co/5qc7Qcoi7k,1,1.0,0.0,0.0
"CNN analyst lets slip truth about #WomensMarch “It’s not about women, it’s about... https://t.co/yc6hKIz6Ww by #LindaSuhler via @c0nvey",1,0.0,0.0,0.3182
RT @KissMySnap: Rihanna flew from Paris to be apart of the #WomensMarch what an icon,1,1.0,0.0,0.0
#WomensMarch was rly something https://t.co/4bdpg8QGGm,1,0.0,0.0,0.0
@HankCampbell @jennysplitter @womensmarch Disagree. Real feminism abt empowering women &amp; their choices. You can't be anti-choice &amp; feminist.,1,0.0,0.0,-0.3818
No one should accept being grabbed by the p_ssy. If you can’t march join the @PussyhatProject and get your pink on online #WomensMarch https://t.co/AgqZMfJXj8,1,0.0,0.0,0.3818
I decline to speculate. https://t.co/WG0qBBxTJB,1,0.0,0.0,0.0
"If only @HillaryClinton hadn't fucked Bernie over, @womensmarch wouldn't have been needed... Just saying :(",1,0.0,0.0,0.1571
Warmed and inspired. @juliarothman https://t.co/3i1qvBbzdz #womensmarch,1,1.0,0.0,0.6486
RT @hazelcowan: Women should march against this treatment. https://t.co/LOuUsibyTI,1,0.0,0.0,0.0
"The most inspiring thought about the #WomensMarch is that many could not make it out, but support the cause nonetheless.",1,1.0,1.0,0.6805
"This has to be unprecedented. Trump, like Hitler, will just double down. https://t.co/IAn1SKADHY",1,0.0,0.0,0.3612
"RT @sigggnasty: No man has the right to tell a woman what she is allowed to do with her own body. 
Our Bodies, Our Choice.
#WomensMarch #IS…",1,0.0,0.0,-0.296
RT @CultureShifting: #WomensMarch - You're Forgetting Someone... #MarchForLife #politics https://t.co/BpzQOMSxWf https://t.co/VEuwL0Tj0U,0,0.0,1.0,0.0
RT @CultureShifting: #WomensMarch - You're Forgetting Someone... #MarchForLife #politics https://t.co/BpzQOMSxWf https://t.co/VEuwL0Tj0U,0,0.0,1.0,0.0
RT @Sabsterz_: I am in tears https://t.co/AXzyifb683,1,1.0,0.0,-0.2263
RT @landsbaumshell: A casual tree full of bras at the #WomensMarch https://t.co/wEmRFg5sB4,1,1.0,0.0,0.2023
Beautiful display of #HumanRights today! #WomensMarch,1,1.0,0.0,0.636
Ah yes more quirky white women https://t.co/fEBMaXbZY7,1,1.0,0.0,0.4019
"RT @SafeWordApples: #WomensMarch It was never about Women's Rights. It was about being able to be pigs. Enjoy hell, ladies. #LiberalsAreACa…",0,0.0,1.0,-0.34
"RT @abriefsummery: Democracy, empathy, history, passion, fight, hope, lovelovelovelovelove 

#womensmarch… https://t.co/Rs36nHuIBC",1,1.0,0.0,0.5106
"Heading to DC on Saturday for the @womensmarch on Washington! Marching for equality 4ALL, public education, gun control, &amp; the environment!",1,1.0,0.0,-0.4559
RT @maziehirono: Aloha trumps hate &amp; we will not back down #WomensMarch https://t.co/nGbe0rsPEW,1,1.0,1.0,-0.5719
RT @bestjhutchpics: My boy out there doing the right thing 💪 #WomensMarch https://t.co/0b6MHQt1Cv,1,1.0,0.0,0.0
RT @Chuster: Metro train conductor shouting #womenrule. The whole city is with us. #WomensMarch #resisterhood,1,1.0,0.0,0.0
Amazing day of service-learning and unity #WomensMarch #WomensMarchAustin https://t.co/qtoBGNlUFI,1,1.0,0.0,0.5859
I choose to fight for what I believe in. #WomensMarch,1,0.0,0.0,-0.3818
@spinningkates @womensmarch Nice work!,1,1.0,1.0,0.4753
#WomensMarch VOA is at ground zero. https://t.co/6e9ocET0Pv,1,0.0,0.0,0.0
"RT @leahmcelrath: THIS.

Fight the ascendance of authoritarianism WHILE YOU CAN, before its too late.

#WomensMarch https://t.co/hJdMkRmlZD",1,1.0,1.0,-0.4588
When you share photos from the inauguration protests to try and make it seem like #WomensMarch was violent. #nicetrythough #womenalwayswin https://t.co/cieqpxJOt7,1,0.0,0.0,-0.2732
RT @Nwanyi_abagana: I liked this thread. https://t.co/8oylMNXHZk,1,1.0,0.0,0.4215
673 Sister marches around the world! We stand in solidarity w/ YOU! https://t.co/I2xWPGRjft #WhyIMarch... by #NicoleMHMetz via @c0nvey,1,1.0,0.0,0.4184
RT @TheTeenagePunk: SO WISH I WAS IN DC FOR THE #WomensMarch,1,1.0,0.0,0.7449
"""They tried to bury us. They didn't know we were seeds"" #WomensMarch https://t.co/EZJbKtGzge",1,1.0,0.0,0.0
RT @grandeslaurinah: wow amazing https://t.co/PARaoQicYw,1,1.0,0.0,0.8225
We're on our way to the #WomensMarch! #WontBackDown https://t.co/KeKPTCeWOX,1,1.0,0.0,0.0
Wearing American's #flag as #hijab #womensmarchSF https://t.co/5toqfXGnSK,1,1.0,0.0,0.0
"@SheriffClarke 
Total collapse of the social order? D.C. Police wearing pussy hats and cheering #Womensmarch https://t.co/lfLmmsvEZV",1,0.0,0.0,-0.0498
"RT @LadyDoc4Trump: #Libs #WomensMarch in support of
#abortion ▶️kill next generation
#ShariaLaw ▶️ rape&amp;kill women
#illegals ▶️ no border,…",0,1.0,1.0,0.7717
"RT @k8andgracie: If @MILCKMUSIC beautiful anthem Quiet isn't the song of the #WomensMarch &amp; the song of 2017, I don't know what is. #tearss…",1,1.0,0.0,0.5994
"RT @GoToArtRave: Their gentials were mutilated 
Now they want yours! https://t.co/uQgfNT8Lul",0,0.0,1.0,0.1511
"RT @0224Allie: #WomensMarch this is amazing! Our country is pulling together for such an amazing purpose, I'm so glad I was born into this…",1,1.0,0.0,0.9146
RT @JesKast: I march for Mother Mary #WomensMarch https://t.co/FzaVONCElC,1,1.0,0.0,0.0
RT @WeirdOwlchemy: TRUMP BURN #WomensMarch https://t.co/hdsgVyZVt0,1,1.0,0.0,0.0
"Protesting woman's rights, by using a cloth that represents freedom to make a hijab that represents female oppression. Did I miss something? https://t.co/kRd7mkdkNh",0,0.0,1.0,0.2023
#WomensMarch is a pointless waste of time,0,0.0,1.0,-0.4215
Hypocrites the lot of them https://t.co/pdSEUumgA4,0,0.0,1.0,0.0
RT @NBCOUT: 'In this together': #WomensMarch in D.C. echoed around the world https://t.co/syWCkXjAKB via @nbcnews,1,1.0,1.0,0.0
"RT @angryaiithetime: #WomensMarch Emma Watson,Bonnie Wright, Kristen Stewart y Scarlett Johansson. https://t.co/ZlQP6To3CK",1,1.0,0.0,0.0
RT @hyphyspicy: This thread 💜 https://t.co/V38nUcMH4q,1,1.0,0.0,0.6369
RT @regina_mea: the ouat ladies marching today #WomensMarch https://t.co/oQjBAUz3n4,1,1.0,0.0,0.0
"RT @CornellWBrooks: If @SenatorSessions wouldn't call grabbing your body an assault, we can't call him Attorney General. Call 877-959-6082.…",1,0.0,0.0,-0.5859
Can a gif win a Pulitzer? https://t.co/T3KTUEkquQ,1,1.0,0.0,0.5859
RT @trumpology: Maybe it's time 4 a classy Woman's March where those of us woman who are disgraced by this display of absurdity march w/sty…,0,0.0,1.0,-0.0258
RT @DesMchlmcgnn: How to get the horror of the brutality suffered by Yazidi women at the hands of daesh communicated to every woman demonst…,0,0.0,1.0,-0.8979
RT @HiCaliberLilGal: #WomensMarch attendees hate firearms for self defense against would be perpetrators but love these weapons to tear apa…,0,0.0,1.0,0.09
"Let's go! ✊🏻✊🏻✊🏻Theres a man next to me on bus to D.C. who's trying to annex my arm rest. Wrong time &amp;place to manspread, bro. #WomensMarch",1,0.0,0.0,-0.5255
"RT @chaitraveler: 🗣 if you're a Black woman in college, attending a #WomensMarch event, and willing to be interviewed, please let me know!…",1,1.0,0.0,0.3802
Protests Sweep U.S. on Trump’s First Day! YES!!! Silence is NOT an option! #OurRevolution #WomensMarch #txlege  https://t.co/xWZKGR4eVg,1,1.0,1.0,0.572
"RT @caromaline: Good people in #Belfast, showing support for #WomensMarch with @ChrisPatSimpson and @gunnsara  #humanrights https://t.co/lp…",1,1.0,0.0,0.6808
"RT @Alifaith55: RT to SUPPORT Rep @NydiaVelazquez  (NY)

I'm joining @womensmarch instead! ✊

#TheResistance #BoycottTrumpInauguration http…",1,0.0,0.0,0.5754
#WomensMarch Organizer Linda Sarsour Wants Sharia Law in America https://t.co/jAGAkCni8h,0,0.0,1.0,0.0
"RT @Purpose: There are now 616 #SisterMarches happening all over the world, alongside #WomensMarchOnWashington! #LYLAS #WomensMarch @womens…",1,1.0,0.0,0.6833
RT @xBruci: You're a sad individual if you're offended or angry over the #WomensMarch.,1,0.0,0.0,-0.8126
"How dare Trump demean women. He don't whores like this, demean women. https://t.co/Lh5JSASpoU",0,0.0,1.0,0.2755
RT @mharanas1987: Wife&amp;daughter at #BostonWomensMarch #WomensMarch pretty cute @CNN #WomensMarchOnWashington https://t.co/ySHvfn67k4,1,1.0,1.0,0.7351
RT @aislingfarmny: Sure felt that way!! https://t.co/oWg9hzb0jr,1,1.0,0.0,0.4374
"@Brent_N_Hughes wants to come at me about my views, fine. Don’t initiate to simply name call and run away when given facts. #WomensMarch",1,0.0,0.0,0.2023
"RT @U2_Breathe: #TheEdge, @TheAbbyTravis , @BradWilkdrummer and @JulietteLewis - ""Pride"" [#WomensMarch- #LA, 21-01-17]
#U2NewsIT @U2 https:…",1,1.0,0.0,0.34
".@SenatorHassan ""Make sure to keep an eye on this capitol as well"" #nhpolitics #WomensMarch https://t.co/u1eJMthj1o",1,1.0,0.0,0.5267
"Millions of us will march today. Our numbers are too great to ignore. We are the people. Here's Auckland, New Zealand #womensmarch https://t.co/SfoVqBUuDP",1,1.0,0.0,0.3818
It's also on @YouTube 😍 https://t.co/LP17DxtuhN,1,1.0,0.0,0.4588
RT @NBABallers97: Shout-out to everyone participating in the #WomensMarch today! 💯💯💯 One love to everybody today; we gotta send a strong me…,1,1.0,0.0,0.8313
Gosh I LOVE the #WomensMarch!!! #ashleyjudd @SenWarren Thank you everyone! Thank you @HillaryClinton 😘😘😘👍🏼👍🏼👍🏼💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼,1,1.0,0.0,0.9612
"#WomensMarch this is the coolest thing to watch wow, i wish i could be a part of this 💛",1,1.0,0.0,0.8934
"RT @BangingToAFault: ""The next 1459 days of the Trump Administration will be 1459 days of resistance."" -Angela Davis  🙌 #WomensMarch",1,1.0,0.0,0.0
"If you marched in any city yesterday, text ""count me"" to 89800. The Women's March organizers are trying to get head count. #WomensMarch",1,0.0,0.0,0.0
RT @oh4twentysix: @womensmarch You not honoring @HillaryClinton is despicable.. Your ideological purity is cute.. but you need a coalition…,0,0.0,1.0,0.0384
RT @oh4twentysix: @womensmarch You not honoring @HillaryClinton is despicable.. Your ideological purity is cute.. but you need a coalition…,0,0.0,1.0,0.0384
"How low can these desperate celebrities go 
#WomensMarch https://t.co/5PjHf1OQQf",0,0.0,1.0,-0.5267
Love my city and my people so much https://t.co/6xyJcJOoaC,1,1.0,0.0,0.6369
Apparently NOT---If it was done in my town no doubt they would be charged with littering for sure--Bunch of women leaving such a mess--WOW https://t.co/sOLakWmDiv,0,0.0,1.0,0.0798
BEST NEWS! 💞 https://t.co/9zx12HbJkQ,1,1.0,0.0,0.8891
Shoutout to @henriettahudson's Lisa &amp; Minnie for organizing such a great group of folx to march with in DC! #WomensMarch,1,1.0,0.0,0.6588
RT @evanoconnell: This dog is marching too. #WomensMarch #womensmarchparis #marchedesfemmes https://t.co/Sn0Zgnodf6,1,1.0,1.0,0.0
"RT @EstoyConHillary: RT Bigly 🔥🔥🔥

#TheResistance #Inauguration #WomensMarch https://t.co/chOJi6HlNZ",0,1.0,1.0,-0.7351
"Watch Madonna’s fiery, expletive-laden speech at the #WomensMarch on Washington https://t.co/rO1O4ccoE8",1,1.0,0.0,-0.34
...so a good portion of the country is turned off by a trump presidency. The #WomensMarch has a better turn out then the inauguration.,1,1.0,0.0,0.7003
All the best celebrity moments from yesterday's #WomensMarch https://t.co/p1CWbjEz6F https://t.co/TLHxNtqCJp,1,1.0,0.0,0.6369
"It is illegal to cover your face in DC while protesting, she is breaking the law. If they all would have voted would not be in the streets. https://t.co/s5Z4fRvtKf",0,0.0,1.0,-0.7506
Advice for the #WomensMarch— https://t.co/ZBermjSLhL,1,1.0,0.0,0.0
RT @datrumpnation1: Wow!!!  This should be considered a threat and Madonna should be questioned by the @SecretService and @FBI https://t.co…,0,0.0,1.0,-0.2206
RT @datrumpnation1: Wow!!!  This should be considered a threat and Madonna should be questioned by the @SecretService and @FBI https://t.co…,0,0.0,1.0,-0.2206
The #WomensMarch of 1913: when thousands of suffragists crashed Woodrow Wilson's... https://t.co/bo9curqrns by #mashable via @c0nvey,1,1.0,1.0,0.0
"RT @kendallburwick: STOP THE WAR ON WOMEN. THIS IS 2017 &amp; MY BODY IS NOT YOUR POLITICAL PLAYGROUND. DIVERSITY, UNITY, EQUALITY. This is #wh…",1,0.0,0.0,-0.8208
I can't believe! Amazing global #WomensMarch https://t.co/lL1B6MqAnf,1,1.0,1.0,-0.521
"RT @whatsernaame_: So inspired by everyone who marched and protested today. Hard to ignore, impossible to forget. #WomensMarch #WomenWhoHav…",1,1.0,0.0,-0.0474
RT @RachaelHeinan: The #womensmarch does NOT represent all women and is irresponsible to claim to do so! #NotMyMarch,0,0.0,1.0,-0.4926
"Truly sad re march. So many manipulated by hidden agenda &amp; mindless mob mentality, vitriol drowning out genuine discourse, so little depth! https://t.co/Jj1Eqgn0IH",0,0.0,1.0,-0.7407
The latest Nachgelesen! https://t.co/0k9dlKQe9M Thanks to @EKD @mdemanto @JensWoelk #trump #womensmarch,1,1.0,0.0,0.4926
7 continents represented at the Women's marches today! #TheResistance #WomensMarch,1,1.0,0.0,0.0
This thread breaks my heart https://t.co/N76QpagSMy,1,1.0,0.0,0.6369
Hella respect for y'all https://t.co/ucNf6VKFZ9,1,1.0,1.0,0.5256
"@wwmayoremeritus exactly, like #BlackLivesMatter #WomensMarch #StandWithPP #climatechange &amp; so many more.",1,1.0,0.0,0.3612
Pussy is ready. #WomensMarch 💪🏼🐱,1,1.0,1.0,0.3612
❤️ these marches are mind-blowing - don't forget this is only just the beginning #womensmarch #pussyhatproject #humanrights #lgbt,1,1.0,0.0,0.1695
"Headed to #WomensMarch #philadelphia 
Train hasn't left the first stop in CH and seats are almost gone.",1,1.0,0.0,-0.296
"RT @tiinagoldstein: hermione, pansy, ginny, and cho all standing up for equality by attending a #WomensMarch 💜 https://t.co/nnlsnSqidw",1,1.0,0.0,0.6369
Would you not wear one yourself? https://t.co/VHzuDRuFlO,1,0.0,0.0,0.0
@ZaidJilani correction https://t.co/4tt6pJP1WE,1,0.0,0.0,0.0
"RT @CdnWomenMarch: We're excited to have you on board (literally!), Sarah! 🚌💪🇨🇦❤️ https://t.co/uDID1jVblA",1,1.0,0.0,0.4559
@womensmarch Our signs are done! #whyimarch #WomensMarch https://t.co/RerNl70gzz,1,1.0,0.0,0.0
RT @kimhearse: @CaptainsLog2017 Oh. My. God. Becky. Look at her sign. #WomensMarch #WomensMarchOnCharlotte https://t.co/L8L5jSNDcv,1,1.0,0.0,0.2732
This. #WomensMarch https://t.co/X9BSrapGf6,1,1.0,0.0,0.0
RT @olivercallan: Trump: Thanks bigly for the #WomensMarch on Washington. I've never seen so many beautiful sugarboobies at my front door b…,0,1.0,1.0,0.7951
RT @leahmcelrath: South Carolina is part of the #WomensMarch movement https://t.co/2XWEhcW1cH,1,1.0,0.0,0.0
@HillaryClinton @womensmarch You are an Amazing Person! We The People Will Right This Wrong! We Love You! @ToddWadsworth1,1,1.0,0.0,0.7392
As a young woman right now all I have to say is thank you. #WomensMarch,1,1.0,0.0,0.3612
RT @kimfrederi: In honor of our true Pres I changed my FB cover pic &amp; profile pic to these. #WhyWeMarch #AddHerName #WomensMarch #whyIMarch…,1,1.0,0.0,0.7184
"RT @ReproRights: ""Keep your filthy laws off my silky drawers."" #WomensMarch https://t.co/b1MISgKSLy",1,0.0,0.0,0.0
@PopCrave ✊✊🏻✊🏼✊🏾👧🏾👧🏻👧🏼👧🏽 Our Voices Will be heard! #WomensMarch #WomenWhoHaveInspiredMe https://t.co/aLxSBlDuSQ,1,1.0,0.0,0.0
"This is a lot more than 500,000 https://t.co/6NCimUvrqJ",1,1.0,0.0,0.0
